slno, Wall_1,Humid1, Wall_2,Humid2, Wall3,Humid3, Wall_4,Humid4, Outside, T_m, U_PID, Fanspeed
0,27,75,27,61,26,81,27,67,28,25,0,0
1,26,71,26,61,26,82,27,63,28,26.33333333,6.066666667,1
2,26,70,26,61,26,80,27,64,28,26.33333333,6.133333333,1
3,26,71,26,62,26,81,27,64,28,26.33333333,6.2,1
4,26,70,26,62,26,84,27,64,28,26.33333333,6.266666667,1
5,26,70,26,62,26,86,27,64,28,26.33333333,6.333333333,1
6,26,71,26,62,26,84,27,64,28,26.33333333,6.4,1
7,26,71,26,63,26,86,27,63,28,26.33333333,6.466666667,1
8,26,71,26,62,26,87,27,63,28,26.33333333,6.533333333,1
9,26,71,26,62,26,87,27,63,28,26.33333333,6.6,1
10,26,71,26,61,26,85,27,62,28,26.33333333,6.666666667,1
11,26,71,26,61,26,85,27,62,28,26.33333333,6.733333333,1
12,26,71,26,60,26,84,27,61,28,26.33333333,6.8,1
13,26,70,26,59,26,85,27,60,28,26.33333333,6.866666667,1
14,26,71,26,59,26,84,27,60,28,26.33333333,6.933333333,1
15,26,70,26,59,26,84,27,60,28,26.33333333,7,1
16,26,69,26,58,26,84,26,59,28,26,5.55,1
17,26,69,26,58,26,84,26,59,28,26,5.6,1
18,26,69,26,57,26,86,26,59,28,26,5.65,1
19,26,68,26,57,26,86,26,59,28,26,5.7,1
20,26,68,26,57,26,86,26,59,28,26,5.75,1
21,26,68,26,56,26,88,26,58,28,26,5.8,1
22,26,68,26,56,26,85,26,58,28,26,5.85,1
23,26,68,26,55,26,86,26,58,28,26,5.9,1
24,26,67,26,55,26,85,26,58,28,26,5.95,1
25,26,67,26,55,26,87,26,58,28,26,6,1
26,26,66,26,55,26,85,26,57,28,26,6.05,1
27,26,66,26,55,26,85,26,57,28,26,6.1,1
28,26,66,26,55,26,85,26,57,28,26,6.15,1
29,26,66,26,54,26,85,26,57,28,26,6.2,1
30,26,66,26,54,26,84,26,57,28,26,6.25,1
31,26,66,26,54,26,82,26,57,28,26,6.3,1
32,26,66,26,54,26,80,26,57,28,26,6.35,1
33,26,66,26,54,26,82,26,56,28,26,6.4,1
34,26,65,26,54,26,83,26,56,28,26,6.45,1
35,26,65,26,54,26,83,26,56,28,26,6.5,1
36,26,65,26,53,26,84,26,56,28,26,6.55,1
37,26,65,26,53,26,83,26,56,28,26,6.6,1
38,26,64,26,53,26,81,26,56,28,26,6.65,1
39,26,64,26,53,26,82,26,56,28,26,6.7,1
40,26,64,26,53,26,83,26,56,28,26,6.75,1
41,26,64,26,53,26,84,26,55,28,26,6.8,1
42,25,63,26,53,26,83,26,55,28,25.66666667,5.333333333,1
43,25,63,26,53,26,85,26,55,28,25.66666667,5.366666667,1
44,25,62,26,52,26,82,26,55,28,25.66666667,5.4,1
45,25,62,26,52,27,80,26,55,28,25.66666667,5.433333333,1
46,25,62,26,52,27,80,26,55,28,25.66666667,5.466666667,1
47,25,62,26,52,27,80,26,55,28,25.66666667,5.5,1
48,25,62,26,52,27,82,26,55,28,25.66666667,5.533333333,1
49,25,62,26,52,27,82,26,55,28,25.66666667,5.566666667,1
50,25,62,26,52,27,83,26,55,28,25.66666667,5.6,1
51,25,62,26,52,27,81,26,55,28,25.66666667,5.633333333,1
52,25,62,26,52,27,83,26,55,28,25.66666667,5.666666667,1
53,25,61,26,52,27,82,26,55,28,25.66666667,5.7,1
54,25,62,26,52,27,81,26,54,28,25.66666667,5.733333333,1
55,25,61,26,52,27,83,26,54,28,25.66666667,5.766666667,1
56,25,61,26,52,27,82,26,54,28,25.66666667,5.8,1
57,25,61,26,51,27,82,26,54,28,25.66666667,5.833333333,1
58,25,61,26,51,27,83,26,54,28,25.66666667,5.866666667,1
59,25,61,26,51,27,85,26,54,28,25.66666667,5.9,1
60,25,61,26,51,27,80,26,54,28,25.66666667,5.933333333,1
61,25,61,26,51,27,79,26,54,28,25.66666667,5.966666667,1
62,25,61,26,51,27,82,26,54,28,25.66666667,6,1
63,25,61,26,51,27,81,26,54,28,25.66666667,6.033333333,1
64,25,61,26,51,27,82,26,54,28,25.66666667,6.066666667,1
65,25,60,26,51,27,80,26,54,28,25.66666667,6.1,1
66,25,60,26,51,27,79,26,54,28,25.66666667,6.133333333,1
67,25,60,26,51,27,78,26,54,28,25.66666667,6.166666667,1
68,25,60,26,51,27,78,26,54,28,25.66666667,6.2,1
69,25,60,26,51,27,81,26,53,28,25.66666667,6.233333333,1
70,25,60,26,51,27,81,26,53,28,25.66666667,6.266666667,1
71,25,61,26,50,27,79,26,54,28,25.66666667,6.3,1
72,25,61,26,50,27,81,26,54,28,25.66666667,6.333333333,1
73,25,61,26,51,27,81,26,54,28,25.66666667,6.366666667,1
74,25,62,26,51,27,79,26,54,28,25.66666667,6.4,1
75,25,62,26,51,27,78,26,54,28,25.66666667,6.433333333,1
76,25,62,26,51,27,78,26,54,28,25.66666667,6.466666667,1
77,25,62,26,51,27,79,26,54,28,25.66666667,6.5,1
78,25,62,26,51,27,78,26,54,28,25.66666667,6.533333333,1
79,24,62,26,51,27,81,26,54,28,25.33333333,5.05,1
80,24,62,26,51,27,79,26,54,28,25.33333333,5.066666667,1
81,24,63,26,51,27,82,26,54,28,25.33333333,5.083333333,1
82,24,64,26,51,27,81,26,54,28,25.33333333,5.1,1
83,24,63,25,50,27,82,26,54,28,25,3.6,1
84,24,63,25,50,27,80,25,53,28,24.66666667,2.083333333,1
85,24,63,25,50,27,82,25,53,28,24.66666667,2.066666667,1
86,24,62,25,50,27,78,25,53,28,24.66666667,2.05,1
87,24,63,25,50,27,80,25,53,28,24.66666667,2.033333333,1
88,24,64,25,50,27,79,25,53,28,24.66666667,2.016666667,1
89,24,64,25,50,27,78,25,53,28,24.66666667,2,1
90,24,64,25,50,27,81,25,53,28,24.66666667,1.983333333,1
91,24,65,25,50,27,84,25,54,28,24.66666667,1.966666667,1
92,24,64,25,50,27,84,25,53,28,24.66666667,1.95,1
93,24,65,25,50,27,85,25,53,28,24.66666667,1.933333333,1
94,24,65,25,50,27,81,25,53,28,24.66666667,1.916666667,1
95,24,64,25,50,27,82,25,53,28,24.66666667,1.9,1
96,24,65,25,50,27,85,25,53,28,24.66666667,1.883333333,1
97,24,64,25,50,27,82,25,53,28,24.66666667,1.866666667,1
98,24,64,25,50,27,83,25,53,28,24.66666667,1.85,1
99,24,64,25,50,27,83,25,53,28,24.66666667,1.833333333,1
100,24,64,25,50,27,81,25,53,28,24.66666667,1.816666667,1
101,24,64,25,50,27,80,25,53,28,24.66666667,1.8,1
102,24,64,25,50,27,81,25,53,28,24.66666667,1.783333333,1
103,24,64,25,50,27,81,25,53,28,24.66666667,1.766666667,1
104,24,63,25,50,27,80,25,53,28,24.66666667,1.75,1
105,24,63,25,50,27,81,25,53,28,24.66666667,1.733333333,1
106,24,63,25,50,27,76,25,53,28,24.66666667,1.716666667,1
107,24,64,25,50,27,80,25,53,28,24.66666667,1.7,1
108,24,64,25,50,27,83,25,54,28,24.66666667,1.683333333,1
109,24,65,25,50,27,82,25,54,28,24.66666667,1.666666667,1
110,24,65,25,50,27,80,25,54,28,24.66666667,1.65,1
111,24,65,25,50,27,82,25,53,28,24.66666667,1.633333333,1
112,24,64,25,50,27,84,25,53,28,24.66666667,1.616666667,1
113,24,65,25,50,27,82,25,53,28,24.66666667,1.6,1
114,24,65,25,50,27,83,25,53,28,24.66666667,1.583333333,1
115,24,65,25,50,27,82,25,53,28,24.66666667,1.566666667,1
116,24,64,25,50,27,80,25,53,28,24.66666667,1.55,1
117,24,64,25,50,27,81,25,53,28,24.66666667,1.533333333,1
118,24,64,25,50,27,83,25,53,28,24.66666667,1.516666667,1
119,24,64,25,50,27,82,25,53,28,24.66666667,1.5,1
120,24,64,25,50,27,82,25,53,28,24.66666667,1.483333333,1
121,24,64,25,50,27,83,25,53,28,24.66666667,1.466666667,1
122,24,65,25,50,27,83,25,53,28,24.66666667,1.45,1
123,24,64,25,50,27,84,25,53,28,24.66666667,1.433333333,1
124,24,63,25,49,27,81,25,53,28,24.66666667,1.416666667,1
125,24,63,25,50,27,81,25,53,28,24.66666667,1.4,1
126,24,63,25,50,27,79,25,53,28,24.66666667,1.383333333,1
127,24,64,25,50,27,81,25,52,28,24.66666667,1.366666667,1
